Кузов;Модель;VIN;Цвет кузова;Год;Специальная цена
F30;BMW 318i SE;WBA8E31010A599325;Оранжевый Закат ;2 018;1 737 534
F30;BMW 318i SE;WBA8E31050A605997;Черный Сапфир металлик;2 018;1 737 534
T30;BMW 320i SE;X4X8A394305J91782;Черный Сапфир металлик;2 018;1 870 000
T30;BMW 320i xDrive M Sport;X4X8A594005K82505;Черный Сапфир металлик ;2 018;2 120 000
T30;BMW 320i xDrive M Sport ;X4X8A594X05K82186;Черный Сапфир металлик;2 018;2 150 000
T30;BMW 320i xDrive M Sport;X4X8A594405K82507;Красный Мельбурн металлик;2 018;2 180 000
F34;BMW 320i xDrive Gran Turismo;WBA8X51030B237013;Белый минерал металлик ;2 018;2 420 000
T30;BMW 320d M Sport ;X4X8C79490EF52789;Синий Эшторил ;2 018;2 036 186
T30;BMW 320d xDrive Sport Line;X4X8C99450AG37440;Ятоба;2 018;2 180 000
F34;BMW 320d xDrive Gran Turismo;WBA8T51070B344304;Синий Эшторил;2 018;2 570 000
F34;BMW 320d xDrive Gran Turismo;WBA8T51050B344298;Серый Минерал;2 018;2 570 000
F34;BWM 320d xDrive Gran Turismo;WBA8T51090B344188;Черный Сапфир металлик;2 018;2 570 000
G30ЛС;BMW 520i Business;X4XJA19400WC06211;Серый Гранит металлик ;2 018;2 530 000
G30ЛС;BMW 520i Business;X4XJA19450WC06365;Белый минерал металлик ;2 018;2 530 000
G30ЛС;BMW 520i Business;X4XJA19420WC06453;Атласский Кедр;2 018;2 530 000
G30;BMW 520i Business;X4XJA19430WC06431;Белый минерал металлик ;2 018;2 530 000
G30ЛС;BMW 520d Sport Line;X4XJC39400WB39843;Серый Гранит металлик;2 018;2 660 000
G30ЛС;BMW 520d Sport Line;X4XJC39460WB39832;Белый минерал металлик ;2 018;2 660 000
G30ЛС;BMW 520d Sport Line;X4XJC39440WB39795;Серый Гранит металлик;2 018;2 660 000
G30;BMW 520d Sport Line;X4XJC39400WB39826;Черный Сапфир металлик ;2 018;2 660 000
G30;BMW 520D xDrive Business;X4XJC59490WB55907;Белоснежный;2 018;2 660 000
G30ЛС;BMW 520d Executive;X4XJC39460WB39815;Белый Минерал металлик;2 018;2 600 000
