Кузов;Модель;Цвет кузова;Год;Специальная цена
G01ЛС;BMW X3 xDrive20d M Sport;Синий Фитоник ;2 019;3 130 000
G01ЛС;BMW X3 xDrive30i M Sport ;Белоснежный;2 018;3 224 000
G01ЛС;BMW X3 xDrive30i M Sport ;Черный Карбон;2 018;3 340 000
G01ЛС;BMW X3 xDrive30d Luxury;Черный Сапфир металлик;2 018;3 565 000
G02ЛС;BMW X4 xDrive30d M Sport;Белоснежный;2 018;3 780 000
G02ЛС;BMW X4 xDrive30d M Sport;Черный Сапфир металлик;2 018;3 780 000
G01;BMW X3 xDrive30d  Luxury;Черный Сапфир металлик ;2 019;3 740 000
G01ЛС;BMW X3 xDrive20d xLine;Белый минерал металлик;2 019;3 290 000
G01;BMW X3 xDrive20d M Sport SE;Синий Фитоник;2 019;3 170 000
G01;BMW X3 xDrive20d M Sport SE;Черный Сапфир металлик;2 019;3 170 000
G01;BMW X3 xDrive30d Luxury;Синий Фитоник;2 019;3 859 500
G02ЛС;BMW X4 xDrive20d M Sport;Белоснежный;2 019;3 540 000
G02ЛС;BMW X4 xDrive20d xLine;Синий Фитоник;2 019;3 470 000
