Серия;Модель;Комплектация;Двигатель;КПП;Цена
1 серия;ECOSPORT;Trend Plus ;1.6(122) 6AT 2WD;АКПП;1 172 113
1 серия;FIESTA 4D;Trend;1.6 л 105 л.с. AКП PowerShift;АКПП;853 500
1 серия;FIESTA 4D;Trend;1.6 л  105 л.с. MКП;АКПП;803 500
1 серия;FIESTA 4D;Trend Plus ;1.6 л 105 л.с. AКП PowerShift;АКПП;886 500
2 серия;FIESTA 4D;Trend Plus ;1.6 л 105 л.с. AКП PowerShift;АКПП;886 500
2 серия;FIESTA 4D;Trend;1.6 л 105 л.с. AКП PowerShift;АКПП;853 500
2 серия;FIESTA 4D;Trend Plus ;1.6 л  105 л.с. MКП;АКПП;812 500
2 серия;FIESTA 4D;Titanium;1.6 л 120 л.с. AКП PowerShift;АКПП;970 500
2 серия;FIESTA 4D;Trend;1.6 л 105 л.с. AКП PowerShift;АКПП;853 500
3 серия;FIESTA 5D;Trend Plus ;1.6 л  105 л.с. MКП;АКПП;845 301
3 серия;FIESTA 5D;Trend Plus ;1.6 л  105 л.с. MКП;АКПП;842 458
3 серия;FOCUS III 5D;Trend SYNC;1.6 (105) MКП;АКПП;1 054 500
3 серия;FOCUS III 5D;Trend SYNC;1.6 (125) AКП PowerShift;АКПП;1 134 879
3 серия;FOCUS III 5D;Trend SYNC;1.6 (125) MКП;АКПП;1 068 500
3 серия;FOCUS III 5D;Trend SYNC;1.6 (105) MКП;АКПП;1 046 500
3 серия;FOCUS III 5D;Trend SYNC;1.6 (105) AКП PowerShift;АКПП;1 094 500
3 серия;FOCUS III 5D;Trend SYNC;1.6 (125) MКП;АКПП;1 089 500
3 серия;FOCUS III 5D;Trend SYNC;1.6 (105) AКП PowerShift;АКПП;1 150 081
3 серия;FOCUS III 5D;Titanium;1.6 (125) AКП PowerShift;АКПП;1 347 147
3 серия;FOCUS III 5D;Trend SYNC;1.6 (105) MКП;АКПП;1 098 481
3 серия;KUGA C520;Trend Plus ;1.6 (150) 6AT 4WD;АКПП;1 702 191
3 серия;KUGA C520;Titanium Plus;1.6 (182) 6AT 4WD;АКПП;1 978 244
3 серия;KUGA C520;Trend Plus ;2.5 (150) 6AT 2WD;АКПП;1 524 500
3 серия;KUGA C520;Titanium Plus;1.6 (182) 6AT 4WD;АКПП;2 018 000
3 серия;KUGA C520;Titanium;1.6 (150) 6AT 4WD;АКПП;1 830 730
3 серия;KUGA C520;Titanium; 1.6 (182) 6AT 4WD;АКПП;1 881 500
3 серия;KUGA C520;Titanium;1.5 150 S5 A6 4WD;АКПП;1 992 829
3 серия;KUGA C520;Trend Plus ;2.5 150 S5 A6 FWD;АКПП;1 578 042
3 серия;KUGA C520;Trend Plus ;2.5 150 S5 A6 FWD;АКПП;1 541 686
3 серия;KUGA C520;Titanium;1.6 (182) 6AT 4WD;АКПП;1 890 739
3 серия;KUGA C520;Titanium;1.6 (150) 6AT 4WD;АКПП;1 791 500
